Location,Region
Admiralty,North
Admiralty West,North
Ang Mo Kio,North
Boon Lay (East),West
Boon Lay (West),West
Botanic Garden,South
Buangkok,East
Bukit Panjang,North
Bukit Timah,South
Buona Vista,South
Chai Chee,East
Changi,East
Choa Chu Kang (Central),West
Choa Chu Kang (South),West
Choa Chu Kang (West),West
Clementi,South
Dhoby Ghaut,South
East Coast Parkway,East
Jurong (East),West
Jurong (North),West
Jurong (West),West
Jurong Island,West
Jurong Pier,West
Kampong Bahru,South
Kent Ridge,South
Khatib,North
Kranji Reservoir,West
Lim Chu Kang,West
Lower Peirce Reservoir,North
Macritchie Reservoir,South
Mandai,North
Marina Barrage,South
Marine Parade,East
Newton,South
Nicoll Highway,South
Pasir Panjang,South
Pasir Ris (Central),East
Pasir Ris (West),East
Paya Lebar,East
Pulau Ubin,East
Punggol,East
Queenstown,South
Seletar,North
Semakau Island,South
Sembawang,North
Sentosa Island,South
Serangoon,South
Serangoon North,East
Simei,East
Somerset (Road),South
Tai Seng,East
Tanjong Katong,East
Tanjong Pagar,South
Tengah,West
Toa Payoh,South
Tuas,West
Tuas South,West
Tuas West,West
Ulu Pandan,South
Upper Peirce Reservoir,North
Upper Thomson,South
Whampoa,South
Yishun,North
